"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type","name_winery_region"
"Shiraz 2016","Australia","McLaren Vale","Food Truck",3.5,101,8.67,2016,"Red","Shiraz 2016 - Food Truck, McLaren Vale"
"Ro-Rée Saint-Joseph 2018","France","Saint-Joseph","Louis Chèze",4.2,101,24.37,2018,"Red","Ro-Rée Saint-Joseph 2018 - Louis Chèze, Saint-Joseph"
"Cabernet Sauvignon 2015","South Africa","Stellenbosch","Big Flower",4,101,16.5,2015,"Red","Cabernet Sauvignon 2015 - Big Flower, Stellenbosch"
"Cuvée Alienor Fronsac 2015","France","Fronsac","Château Mayne-Vieil",3.7,101,16.47,2015,"Red","Cuvée Alienor Fronsac 2015 - Château Mayne-Vieil, Fronsac"
"Sabbie di Sopra al Bosco 2014","Italy","Terre del Volturno","Nanni Copé",3.8,101,31.96,2014,"Red","Sabbie di Sopra al Bosco 2014 - Nanni Copé, Terre del Volturno"
"Roma Rosso 2018","Italy","Lazio","Poggio le Volpi",4,101,9.95,2018,"Red","Roma Rosso 2018 - Poggio le Volpi, Lazio"
"Garnacha de Arrayán 2014","Spain","Castilla y León","Arrayán",3.7,101,21.9,2014,"Red","Garnacha de Arrayán 2014 - Arrayán, Castilla y León"
"Cabernet Sauvignon 2018","Chile","Central Valley","Valdivieso",3.3,101,7.6,2018,"Red","Cabernet Sauvignon 2018 - Valdivieso, Central Valley"
"Terrenus Vinhas Velhas Reserva 2013","Portugal","Alentejano","Rui Reguinga",4.1,101,27.95,2013,"Red","Terrenus Vinhas Velhas Reserva 2013 - Rui Reguinga, Alentejano"
"Fronsac 2005","France","Fronsac","Château Villars",3.8,101,25.95,2005,"Red","Fronsac 2005 - Château Villars, Fronsac"
"Cuvée Charles de Batz Madiran 2014","France","Madiran","Domaine Berthoumieu",3.7,101,14.09,2014,"Red","Cuvée Charles de Batz Madiran 2014 - Domaine Berthoumieu, Madiran"
"Stony Terrace Cabernet Sauvignon 2016","United States","Napa Valley","Rutherford Wine Company",3.8,101,18.03,2016,"Red","Stony Terrace Cabernet Sauvignon 2016 - Rutherford Wine Company, Napa Valley"
"12 e Mezzo Puglia Primitivo Organic Wine 2016","Italy","Puglia","Varvaglione",3.9,101,9.4,2016,"Red","12 e Mezzo Puglia Primitivo Organic Wine 2016 - Varvaglione, Puglia"
"El Abuelo Selección Edición Limitada 2013","Spain","Almansa","Bodegas Piqueras",4.2,101,10.95,2013,"Red","El Abuelo Selección Edición Limitada 2013 - Bodegas Piqueras, Almansa"
"Sangre de Toro Special Selection 2017","Spain","Catalunya","Torres",3.6,101,8.9,2017,"Red","Sangre de Toro Special Selection 2017 - Torres, Catalunya"
"Château Paul Mas Coteaux du Languedoc Clos des Mures 2018","France","Languedoc","Paul Mas",3.8,101,11.05,2018,"Red","Château Paul Mas Coteaux du Languedoc Clos des Mures 2018 - Paul Mas, Languedoc"
"Merlot 2018","France","Pays d'Oc","Les Jamelles",3.6,101,5.36,2018,"Red","Merlot 2018 - Les Jamelles, Pays d'Oc"
"Roscaleto Barbera d'Alba 2015","Italy","Barbera d'Alba","Enzo Boglietti",3.9,101,31.18,2015,"Red","Roscaleto Barbera d'Alba 2015 - Enzo Boglietti, Barbera d'Alba"
"Barolo Cannubi 2014","Italy","Barolo","Giacomo Fenocchio",4,101,39.9,2014,"Red","Barolo Cannubi 2014 - Giacomo Fenocchio, Barolo"
"Pauillac (Premier Grand Cru Classé) 2017","France","Pauillac","Château Mouton Rothschild",4.6,101,633.62,2017,"Red","Pauillac (Premier Grand Cru Classé) 2017 - Château Mouton Rothschild, Pauillac"
"Cabernet Sauvignon 2014","United States","Washington","Stimson Estate Cellars",3.3,101,8.29,2014,"Red","Cabernet Sauvignon 2014 - Stimson Estate Cellars, Washington"
"Côte-Rôtie Le Gallet Blanc 2017","France","Côte-Rôtie","Francois Villard",4.4,101,48,2017,"Red","Côte-Rôtie Le Gallet Blanc 2017 - Francois Villard, Côte-Rôtie"
