"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type","name_winery_region"
"AN/2 2018","Spain","Mallorca","Ànima Negra",4.1,111,19.99,2018,"Red","AN/2 2018 - Ànima Negra, Mallorca"
"Oraison Côtes du Rhône 2016","France","Côtes-du-Rhône","Badet Clement",3.4,111,8.5,2016,"Red","Oraison Côtes du Rhône 2016 - Badet Clement, Côtes-du-Rhône"
"Etna San Lorenzo Rosso 2017","Italy","Etna","Tenuta delle Terre Nere",4.2,111,39.9,2017,"Red","Etna San Lorenzo Rosso 2017 - Tenuta delle Terre Nere, Etna"
"Negroamaro 2017","Italy","Puglia","A Mano",3.5,111,6.75,2017,"Red","Negroamaro 2017 - A Mano, Puglia"
"Breg Rosso 2004","Italy","Venezia Giulia","Gravner",4.2,111,95.55,2004,"Red","Breg Rosso 2004 - Gravner, Venezia Giulia"
"Gigondas Le Claux 2011","France","Gigondas","Château de Saint Cosme",4.3,111,59.95,2011,"Red","Gigondas Le Claux 2011 - Château de Saint Cosme, Gigondas"
"Côtes du Rhône Villages Sablet 2012","France","Côtes-du-Rhône-Villages 'Sablet'","Château du Trignon",3.8,111,10.67,2012,"Red","Côtes du Rhône Villages Sablet 2012 - Château du Trignon, Côtes-du-Rhône-Villages 'Sablet'"
"Paleo 2016","Italy","Toscana","Le Macchiole",4.5,111,92.05,2016,"Red","Paleo 2016 - Le Macchiole, Toscana"
"Dominio de Fontana Garnacha - Syrah 2017","Spain","Uclés","Bodegas Fontana",3.6,111,7.36,2017,"Red","Dominio de Fontana Garnacha - Syrah 2017 - Bodegas Fontana, Uclés"
"Rosso di Montalcino 2017","Italy","Rosso di Montalcino","Casanova di Neri",4,111,20.9,2017,"Red","Rosso di Montalcino 2017 - Casanova di Neri, Rosso di Montalcino"
"Carchelo (C) 2017","Spain","Jumilla","Carchelo",3.6,111,8.92,2017,"Red","Carchelo (C) 2017 - Carchelo, Jumilla"
"Reserva Rioja (Finca Ygay) 2016","Spain","Rioja","Marqués de Murrieta",4,111,18,2016,"Red","Reserva Rioja (Finca Ygay) 2016 - Marqués de Murrieta, Rioja"
"Barrel Selection Cabernet Sauvignon 2018","Argentina","Uco Valley","Salentein",3.6,111,12.9,2018,"Red","Barrel Selection Cabernet Sauvignon 2018 - Salentein, Uco Valley"
"Syrah 2016","South Africa","Stellenbosch","Zevenwacht",4.1,111,13.99,2016,"Red","Syrah 2016 - Zevenwacht, Stellenbosch"
"Don Antonio Nero d'Avola (Riserva) 2016","Italy","Sicilia","Morgante",4.2,111,25.9,2016,"Red","Don Antonio Nero d'Avola (Riserva) 2016 - Morgante, Sicilia"
"Wunderwerk Spätburgunder 2014","Germany","Rheinhessen","Dreissigacker",3.8,111,27,2014,"Red","Wunderwerk Spätburgunder 2014 - Dreissigacker, Rheinhessen"
"Clos d'Ora 2015","France","Minervois La Livinière","Gérard Bertrand",4.5,111,229,2015,"Red","Clos d'Ora 2015 - Gérard Bertrand, Minervois La Livinière"
"Hommage à Jacques Perrin Châteauneuf-du-Pape 2016","France","Châteauneuf-du-Pape","Château de Beaucastel",4.6,111,515,2016,"Red","Hommage à Jacques Perrin Châteauneuf-du-Pape 2016 - Château de Beaucastel, Châteauneuf-du-Pape"
"Director's Cut Zinfandel 2015","United States","Dry Creek Valley","Francis Ford Coppola",4.1,1110,32.5,2015,"Red","Director's Cut Zinfandel 2015 - Francis Ford Coppola, Dry Creek Valley"
"Reserva Ribera del Duero 2014","Spain","Ribera del Duero","Condado de Oriza",3.7,1111,14.52,2014,"Red","Reserva Ribera del Duero 2014 - Condado de Oriza, Ribera del Duero"
"Amarone della Valpolicella Classico 2015","Italy","Amarone della Valpolicella Classico","Allegrini",4.3,1111,50.69,2015,"Red","Amarone della Valpolicella Classico 2015 - Allegrini, Amarone della Valpolicella Classico"
"Châteauneuf-du-Pape 2015","France","Châteauneuf-du-Pape","E. Guigal",4.1,1112,32.54,2015,"Red","Châteauneuf-du-Pape 2015 - E. Guigal, Châteauneuf-du-Pape"
"Reserve Pinot Noir 2014","Argentina","Uco Valley","Salentein",3.8,1114,15.69,2014,"Red","Reserve Pinot Noir 2014 - Salentein, Uco Valley"
"Malbec 2018","Argentina","Mendoza","Argento",3.6,1117,9.99,2018,"Red","Malbec 2018 - Argento, Mendoza"
"Rioja Reserva 2015","Spain","Rioja","Marqués de Riscal",4.1,11170,15.5,2015,"Red","Rioja Reserva 2015 - Marqués de Riscal, Rioja"
"Moulis-en-Médoc 2014","France","Moulis-en-Médoc","Château Chasse-Spleen",3.9,1118,43.77,2014,"Red","Moulis-en-Médoc 2014 - Château Chasse-Spleen, Moulis-en-Médoc"
"Plumbago Nero d'Avola Sicilia 2016","Italy","Sicilia","Planeta",3.6,1118,13.93,2016,"Red","Plumbago Nero d'Avola Sicilia 2016 - Planeta, Sicilia"
"Vigna Corvino Montepulciano d'Abruzzo 2018","Italy","Montepulciano d'Abruzzo","Contesa",3.8,112,6.32,2018,"Red","Vigna Corvino Montepulciano d'Abruzzo 2018 - Contesa, Montepulciano d'Abruzzo"
"Cabernet Sauvignon 2016","Romania","Samburesti","Castel Bolovanu",3.3,112,7.9,2016,"Red","Cabernet Sauvignon 2016 - Castel Bolovanu, Samburesti"
"Códice 2017","Spain","Castilla y León","Dominio de Eguren",3.5,112,5.75,2017,"Red","Códice 2017 - Dominio de Eguren, Castilla y León"
"Pinot Noir 2018","South Africa","Walker Bay","Creation",3.9,112,18.99,2018,"Red","Pinot Noir 2018 - Creation, Walker Bay"
"Aigle Les Murailles Rouge 2015","Switzerland","Aigle","Henri Badoux",3.7,112,23.17,2015,"Red","Aigle Les Murailles Rouge 2015 - Henri Badoux, Aigle"
"Big G 2015","South Africa","Franschhoek","Holden Manz",4.2,112,23.9,2015,"Red","Big G 2015 - Holden Manz, Franschhoek"
"Barbera d'Alba Aves 2018","Italy","Barbera d'Alba","Comm. G.B. Burlotto",4,112,24,2018,"Red","Barbera d'Alba Aves 2018 - Comm. G.B. Burlotto, Barbera d'Alba"
"Chinon Rouge 2015","France","Chinon","Domaine Gouron",3.5,112,8.75,2015,"Red","Chinon Rouge 2015 - Domaine Gouron, Chinon"
"Bardolino 2016","Italy","Bardolino","Corte Giara",3.5,112,5.9,2016,"Red","Bardolino 2016 - Corte Giara, Bardolino"
"Provident Shiraz 2016","Australia","Barossa Valley","Soul Growers",3.6,112,24.37,2016,"Red","Provident Shiraz 2016 - Soul Growers, Barossa Valley"
"Perdixi 2013","Italy","Isola dei Nuraghi","Olianas",3.7,112,19.5,2013,"Red","Perdixi 2013 - Olianas, Isola dei Nuraghi"
"Puisseguin Saint-Émilion 2013","France","Puisseguin-Saint-Émilion","Château Moulin de Curat",3.4,112,10.75,2013,"Red","Puisseguin Saint-Émilion 2013 - Château Moulin de Curat, Puisseguin-Saint-Émilion"
"Pissarres 2017","Spain","Priorat","Costers del Priorat",4,112,12.85,2017,"Red","Pissarres 2017 - Costers del Priorat, Priorat"
"Arcidiavolo 2008","Italy","Toscana","Teruzzi & Puthod",4.2,112,17.45,2008,"Red","Arcidiavolo 2008 - Teruzzi & Puthod, Toscana"
"Colheita Alentejano Tinto 2015","Portugal","Alentejano","Monte Cascas",3.6,112,9.65,2015,"Red","Colheita Alentejano Tinto 2015 - Monte Cascas, Alentejano"
"Malbec 2013","Argentina","Uco Valley","DiamAndes",3.6,1122,16.56,2013,"Red","Malbec 2013 - DiamAndes, Uco Valley"
"Bordeaux Rouge 2014","France","Bordeaux","Baron Philippe de Rothschild",3.2,1123,7.95,2014,"Red","Bordeaux Rouge 2014 - Baron Philippe de Rothschild, Bordeaux"
"Pauillac (Grand Cru Classé) 2011","France","Pauillac","Château Pichon Baron",4.4,1125,139,2011,"Red","Pauillac (Grand Cru Classé) 2011 - Château Pichon Baron, Pauillac"
"Pauillac (Grand Cru Classé) 2011","France","Pauillac","Château Grand-Puy-Lacoste",4.2,1125,76.95,2011,"Red","Pauillac (Grand Cru Classé) 2011 - Château Grand-Puy-Lacoste, Pauillac"
"Selvarossa Riserva 2014","Italy","Salice Salentino","Cantine due Palme",4,1125,14.95,2014,"Red","Selvarossa Riserva 2014 - Cantine due Palme, Salice Salentino"
"Rocca Guicciarda Chianti Classico Riserva 2016","Italy","Chianti Classico","Ricasoli",3.7,1129,13.79,2016,"Red","Rocca Guicciarda Chianti Classico Riserva 2016 - Ricasoli, Chianti Classico"
"Diamond Collection Malbec (Celestial Blue Label) 2017","United States","Napa Valley","Francis Ford Coppola",3.6,113,26.31,2017,"Red","Diamond Collection Malbec (Celestial Blue Label) 2017 - Francis Ford Coppola, Napa Valley"
"Rioja Tempranillo Elaboración Especial 2017","Spain","Rioja","Beronia",3.7,113,11.99,2017,"Red","Rioja Tempranillo Elaboración Especial 2017 - Beronia, Rioja"
"Pomerol 2015","France","Pomerol","Château Moulinet-Lasserre",4.1,113,46.79,2015,"Red","Pomerol 2015 - Château Moulinet-Lasserre, Pomerol"
"1300 Merlot 2016","Argentina","Tupungato","Andeluna",3.3,113,7.7,2016,"Red","1300 Merlot 2016 - Andeluna, Tupungato"
"Tradition Spätburgunder 2017","Germany","Franken","Rudolf Fürst",3.8,113,16.9,2017,"Red","Tradition Spätburgunder 2017 - Rudolf Fürst, Franken"
"Nebbiolo Langhe 2018","Italy","Langhe","Giacomo Fenocchio",3.7,113,16.9,2018,"Red","Nebbiolo Langhe 2018 - Giacomo Fenocchio, Langhe"
"Pinot Noir 2016","United States","California","Spellbound",3.6,113,14.49,2016,"Red","Pinot Noir 2016 - Spellbound, California"
"Tenuta Belguardo 2015","Italy","Maremma Toscana","Mazzei",3.8,113,49,2015,"Red","Tenuta Belguardo 2015 - Mazzei, Maremma Toscana"
"Kalkmergel Spätburgunder 2014","Germany","Pfalz","Knipser",3.8,113,23.38,2014,"Red","Kalkmergel Spätburgunder 2014 - Knipser, Pfalz"
"Merlot 2015","Italy","Südtirol - Alto Adige","Alois Lageder",3.7,113,17.79,2015,"Red","Merlot 2015 - Alois Lageder, Südtirol - Alto Adige"
"Châteauneuf-du-Pape 2017","France","Châteauneuf-du-Pape","Clos des Papes (Paul Avril)",4.2,113,86.76,2017,"Red","Châteauneuf-du-Pape 2017 - Clos des Papes (Paul Avril), Châteauneuf-du-Pape"
"Chianti Classico 2016","Italy","Chianti Classico","Monte Guelfo",3.4,113,8.29,2016,"Red","Chianti Classico 2016 - Monte Guelfo, Chianti Classico"
"Valdehermoso Crianza 2016","Spain","Ribera del Duero","Valderiz",3.7,113,13.5,2016,"Red","Valdehermoso Crianza 2016 - Valderiz, Ribera del Duero"
"Bel Noce Primitivo 2017","Italy","Salento","Cantina Rosa del Golfo",4.2,113,9.78,2017,"Red","Bel Noce Primitivo 2017 - Cantina Rosa del Golfo, Salento"
"Moulin des Costes Bandol Rouge 2011","France","Bandol","Domaines Bunan",3.7,113,115,2011,"Red","Moulin des Costes Bandol Rouge 2011 - Domaines Bunan, Bandol"
"Sapaio Bolgheri Superiore 2016","Italy","Bolgheri Superiore","Podere Sapaio",4.2,113,54.81,2016,"Red","Sapaio Bolgheri Superiore 2016 - Podere Sapaio, Bolgheri Superiore"
"Rosso di Montalcino 2015","Italy","Rosso di Montalcino","Poggio Landi",3.7,113,13.5,2015,"Red","Rosso di Montalcino 2015 - Poggio Landi, Rosso di Montalcino"
"Côtes du Rhône 2016","France","Côtes-du-Rhône","Rocca Maura",3.4,113,7.5,2016,"Red","Côtes du Rhône 2016 - Rocca Maura, Côtes-du-Rhône"
"Filo di Seta Brunello di Montalcino 2012","Italy","Brunello di Montalcino","Castello Romitorio",4.3,113,52.87,2012,"Red","Filo di Seta Brunello di Montalcino 2012 - Castello Romitorio, Brunello di Montalcino"
"Saint-Émilion Grand Cru 2011","France","Saint-Émilion Grand Cru","Clos Dubreuil",4.1,113,63.2,2011,"Red","Saint-Émilion Grand Cru 2011 - Clos Dubreuil, Saint-Émilion Grand Cru"
"Quinta Generation (5th) 2016","Chile","Colchagua Valley","Casa Silva",4.2,113,20.42,2016,"Red","Quinta Generation (5th) 2016 - Casa Silva, Colchagua Valley"
"Cuvée X 2015","Germany","Pfalz","Knipser",4.1,113,40.65,2015,"Red","Cuvée X 2015 - Knipser, Pfalz"
"Pauillac (Grand Cru Classé) 2017","France","Pauillac","Château Pichon Longueville Comtesse de Lalande",4.4,113,154.99,2017,"Red","Pauillac (Grand Cru Classé) 2017 - Château Pichon Longueville Comtesse de Lalande, Pauillac"
"Bachgart Blauburgunder 2015","Italy","Südtirol - Alto Adige","Klaus Lentsch",3.8,113,42.9,2015,"Red","Bachgart Blauburgunder 2015 - Klaus Lentsch, Südtirol - Alto Adige"
"Priorat 2017","Spain","Priorat","Clos Mogador",4.5,113,77.01,2017,"Red","Priorat 2017 - Clos Mogador, Priorat"
"Hillside Select Cabernet Sauvignon 2015","United States","Stags Leap District","Shafer",4.6,113,378.98,2015,"Red","Hillside Select Cabernet Sauvignon 2015 - Shafer, Stags Leap District"
"Bernoota Shiraz - Cabernet 2016","Australia","Langhorne Creek","Lake Breeze Wines",3.9,113,20.75,2016,"Red","Bernoota Shiraz - Cabernet 2016 - Lake Breeze Wines, Langhorne Creek"
"Reserva Carmenère 2018","Chile","Colchagua Valley","Caliterra",3.6,113,6.33,2018,"Red","Reserva Carmenère 2018 - Caliterra, Colchagua Valley"
"Small Hill Red 2017","Austria","Burgenland","Leo Hillinger",3.6,113,9.17,2017,"Red","Small Hill Red 2017 - Leo Hillinger, Burgenland"
"Margaux (Grand Cru Classé) 2011","France","Margaux","Château Lascombes",4.2,1131,89,2011,"Red","Margaux (Grand Cru Classé) 2011 - Château Lascombes, Margaux"
"Merlot 2016","United States","Columbia Valley","Columbia Winery",3.7,1132,14.84,2016,"Red","Merlot 2016 - Columbia Winery, Columbia Valley"
"Pessac-Léognan (Grand Cru Classé de Graves) 2006","France","Pessac-Léognan","Château Pape Clément",4.4,1132,129,2006,"Red","Pessac-Léognan (Grand Cru Classé de Graves) 2006 - Château Pape Clément, Pessac-Léognan"
"Conde de Valdemar Gran Reserva 2010","Spain","Rioja","Bodegas Valdemar",4,1134,18.79,2010,"Red","Conde de Valdemar Gran Reserva 2010 - Bodegas Valdemar, Rioja"
"Syrah 2017","Italy","Terre Siciliane","Cusumano",3.8,1134,7.9,2017,"Red","Syrah 2017 - Cusumano, Terre Siciliane"
"Brunello di Montalcino 2012","Italy","Brunello di Montalcino","Tenute Silvio Nardi",4.1,1136,38.3,2012,"Red","Brunello di Montalcino 2012 - Tenute Silvio Nardi, Brunello di Montalcino"
"Ganadero 2017","Spain","Méntrida","Canopy",3.6,114,7.45,2017,"Red","Ganadero 2017 - Canopy, Méntrida"
"AS Ladieras 2015","Spain","Campo de Borja","Cuevas de Arom",3.8,114,19.24,2015,"Red","AS Ladieras 2015 - Cuevas de Arom, Campo de Borja"
"Bin 3 Merlot - Cabernet Sauvignon 2016","South Africa","Stellenbosch","Kaapzicht",3.8,114,13.8,2016,"Red","Bin 3 Merlot - Cabernet Sauvignon 2016 - Kaapzicht, Stellenbosch"
"Gimblett Gravels Le Sol 2015","New Zealand","Gimblett Gravels","Craggy Range",4.3,114,85.27,2015,"Red","Gimblett Gravels Le Sol 2015 - Craggy Range, Gimblett Gravels"
"Pomerol 2016","France","Pomerol","Château La Renaissance",4.1,114,24.27,2016,"Red","Pomerol 2016 - Château La Renaissance, Pomerol"
"Memorious Pinot Noir 2015","United States","Sta. Rita Hills","Domaine de la Côte",4.2,114,54,2015,"Red","Memorious Pinot Noir 2015 - Domaine de la Côte, Sta. Rita Hills"
"Baron Nathaniel Pauillac 2016","France","Pauillac","Baron Philippe de Rothschild",4.2,114,28.08,2016,"Red","Baron Nathaniel Pauillac 2016 - Baron Philippe de Rothschild, Pauillac"
"Saga Médoc 2016","France","Médoc","Barons de Rothschild (Lafite)",3.5,114,10.65,2016,"Red","Saga Médoc 2016 - Barons de Rothschild (Lafite), Médoc"
"Haut-Médoc 2014","France","Haut-Médoc","Château Haut-Bellevue",3.8,114,13.15,2014,"Red","Haut-Médoc 2014 - Château Haut-Bellevue, Haut-Médoc"
"Cenit 2012","Chile","Colchagua Valley","Caliterra",4.3,114,38.94,2012,"Red","Cenit 2012 - Caliterra, Colchagua Valley"
"Maldoror 2005","France","Côtes de Bourg","Château Fougas",3.7,114,43.95,2005,"Red","Maldoror 2005 - Château Fougas, Côtes de Bourg"
"Cuvée Juveniles 2017","Australia","Barossa","Torbreck",3.9,114,24.75,2017,"Red","Cuvée Juveniles 2017 - Torbreck, Barossa"
"Cabernet Veneto 2016","Italy","Veneto","Torresella",3.3,114,6.77,2016,"Red","Cabernet Veneto 2016 - Torresella, Veneto"
"Pessac-Léognan (Grand Cru Classé de Graves) 2017","France","Pessac-Léognan","Domaine de Chevalier",4.1,114,77.01,2017,"Red","Pessac-Léognan (Grand Cru Classé de Graves) 2017 - Domaine de Chevalier, Pessac-Léognan"
"Purosangue Morellino di Scansano Sangiovese Riserva 2016","Italy","Morellino di Scansano","Terenzi",3.8,114,25.26,2016,"Red","Purosangue Morellino di Scansano Sangiovese Riserva 2016 - Terenzi, Morellino di Scansano"
"Colline Côtes du Rhône Rouge 2018","France","Côtes-du-Rhône","La Cabotte",3.7,114,8.98,2018,"Red","Colline Côtes du Rhône Rouge 2018 - La Cabotte, Côtes-du-Rhône"
"Estate Perigee (Seven Hills Vineyard) 2013","United States","Walla Walla Valley","L'Ecole No 41",4.3,114,49.5,2013,"Red","Estate Perigee (Seven Hills Vineyard) 2013 - L'Ecole No 41, Walla Walla Valley"
"Pinot Noir Bourgogne 2018","France","Bourgogne","Terres Dorées",3.9,114,16.9,2018,"Red","Pinot Noir Bourgogne 2018 - Terres Dorées, Bourgogne"
"Frauenfeld St. Laurent 2015","Austria","Thermenregion","Johanneshof Reinisch",4.1,114,19.35,2015,"Red","Frauenfeld St. Laurent 2015 - Johanneshof Reinisch, Thermenregion"
"Signature Malbec 2017","Argentina","Lujan de Cuyo","Susana Balbo",3.9,1143,24.75,2017,"Red","Signature Malbec 2017 - Susana Balbo, Lujan de Cuyo"
"Crozes-Hermitage Les Jalets 2016","France","Crozes-Hermitage","Paul Jaboulet Aîné",3.7,1143,19.39,2016,"Red","Crozes-Hermitage Les Jalets 2016 - Paul Jaboulet Aîné, Crozes-Hermitage"
"Ripassa Valpolicella Ripasso Superiore 2015","Italy","Valpolicella Ripasso","Zenato",4.2,11433,19.99,2015,"Red","Ripassa Valpolicella Ripasso Superiore 2015 - Zenato, Valpolicella Ripasso"
"La Segreta Il Rosso 2017","Italy","Sicilia","Planeta",3.6,1145,8.36,2017,"Red","La Segreta Il Rosso 2017 - Planeta, Sicilia"
"Zinfandel 2017","United States","California","Woodbridge by Robert Mondavi",3.8,1147,8.39,2017,"Red","Zinfandel 2017 - Woodbridge by Robert Mondavi, California"
"Margaux (Grand Cru Classé) 2009","France","Margaux","Château Brane-Cantenac",4.2,1149,96.99,2009,"Red","Margaux (Grand Cru Classé) 2009 - Château Brane-Cantenac, Margaux"
"Cabernet Sauvignon 2014","Chile","Maipo Valley","Primus",3.8,1149,14.4,2014,"Red","Cabernet Sauvignon 2014 - Primus, Maipo Valley"
"La Luna e I Falo Nizza 2015","Italy","Barbera d'Asti","Vite Colte",3.7,115,17.95,2015,"Red","La Luna e I Falo Nizza 2015 - Vite Colte, Barbera d'Asti"
"Three Pines Cabernet Sauvignon 2016","South Africa","Stellenbosch","Stark-Condé",4,115,38.99,2016,"Red","Three Pines Cabernet Sauvignon 2016 - Stark-Condé, Stellenbosch"
"Γουμένισσα (Goumenissa) 2015","Greece","Goumenissa","Chatzivaritis Estate",3.7,115,20,2015,"Red","Γουμένισσα (Goumenissa) 2015 - Chatzivaritis Estate, Goumenissa"
"Toscana Rosso 2018","Italy","Toscana","Tenuta Il Poggione",3.6,115,7.99,2018,"Red","Toscana Rosso 2018 - Tenuta Il Poggione, Toscana"
"Le Benjamin de Beauregard Pomerol 2016","France","Pomerol","Château Beauregard",3.9,115,34.9,2016,"Red","Le Benjamin de Beauregard Pomerol 2016 - Château Beauregard, Pomerol"
"Vigna Del Mandorlo Dolcetto d'Alba 2016","Italy","Dolcetto d'Alba","Elvio Cogno",3.5,115,13.95,2016,"Red","Vigna Del Mandorlo Dolcetto d'Alba 2016 - Elvio Cogno, Dolcetto d'Alba"
"Estate Vineyards Syrah (Shiraz) 2017","South Africa","Stellenbosch","Rust En Vrede",4.3,115,23.75,2017,"Red","Estate Vineyards Syrah (Shiraz) 2017 - Rust En Vrede, Stellenbosch"
"Prima 2006","France","Cadillac - Côtes de Bordeaux","Château Carignan",3.7,115,15.15,2006,"Red","Prima 2006 - Château Carignan, Cadillac - Côtes de Bordeaux"
"Cabernet Riserva 2016","Italy","Südtirol - Alto Adige","Alois Lageder",3.7,115,20.19,2016,"Red","Cabernet Riserva 2016 - Alois Lageder, Südtirol - Alto Adige"
"Centine Rosso 2018","Italy","Toscana","Banfi",3.7,115,8.5,2018,"Red","Centine Rosso 2018 - Banfi, Toscana"
"Sangiovese di Romagna Superiore Riserva 2016","Italy","Romagna","Poderi dal Nespoli",3.9,115,16.64,2016,"Red","Sangiovese di Romagna Superiore Riserva 2016 - Poderi dal Nespoli, Romagna"
"Powerline Syrah 2016","United States","Walla Walla Valley","K Vintners",4.3,115,60.84,2016,"Red","Powerline Syrah 2016 - K Vintners, Walla Walla Valley"
"Granja Gran Reserva Rioja 2011","Spain","Rioja","Remelluri",4.3,115,49.75,2011,"Red","Granja Gran Reserva Rioja 2011 - Remelluri, Rioja"
"Carnevalè Riserva Cannonau di Sardegna 2015","Italy","Cannonau di Sardegna","Giuseppe Sedilesu",4.1,115,25.83,2015,"Red","Carnevalè Riserva Cannonau di Sardegna 2015 - Giuseppe Sedilesu, Cannonau di Sardegna"
"Eloy Escudero Crianza 2014","Spain","Ribera del Duero","Bodegas y Vinedos Escudero",3.7,115,12.43,2014,"Red","Eloy Escudero Crianza 2014 - Bodegas y Vinedos Escudero, Ribera del Duero"
"Rouge 2011","France","Côtes Catalanes","Domaine de l'Horizon",3.9,115,77.01,2011,"Red","Rouge 2011 - Domaine de l'Horizon, Côtes Catalanes"
"Gran Reserva 2012","Spain","Rioja","Rioja Vega",3.9,115,18.5,2012,"Red","Gran Reserva 2012 - Rioja Vega, Rioja"
"Negroamaro Salento Maru 2018","Italy","Salento","Castello Monaci",3.5,115,7.4,2018,"Red","Negroamaro Salento Maru 2018 - Castello Monaci, Salento"
"1300 Malbec 2018","Argentina","Tupungato","Andeluna",3.7,1150,7.7,2018,"Red","1300 Malbec 2018 - Andeluna, Tupungato"
"Gran Reserva Rioja 2008","Spain","Rioja","Lan",3.9,1152,17.25,2008,"Red","Gran Reserva Rioja 2008 - Lan, Rioja"
"Cabernet Sauvignon 2017","United States","California","Barefoot",3.3,1155,6,2017,"Red","Cabernet Sauvignon 2017 - Barefoot, California"
"Cabernet Sauvignon - Merlot 2014","Spain","Somontano","Enate",3.6,1156,19.89,2014,"Red","Cabernet Sauvignon - Merlot 2014 - Enate, Somontano"
"Haut-Médoc 2014","France","Haut-Médoc","Château Beaumont",3.6,1156,15.9,2014,"Red","Haut-Médoc 2014 - Château Beaumont, Haut-Médoc"
"Castelgreve Chianti Classico Riserva 2015","Italy","Chianti Classico","Castelli del Grevepesa",3.6,1157,17.84,2015,"Red","Castelgreve Chianti Classico Riserva 2015 - Castelli del Grevepesa, Chianti Classico"
"Beaujolais-Villages 2019","France","Beaujolais-Villages","Joseph Drouhin",3.9,116,12.14,2019,"Red","Beaujolais-Villages 2019 - Joseph Drouhin, Beaujolais-Villages"
"Jester Cabernet Sauvignon 2017","Australia","McLaren Vale","Mitolo",3.6,116,18.92,2017,"Red","Jester Cabernet Sauvignon 2017 - Mitolo, McLaren Vale"
"Chianti 2018","Italy","Chianti","Monte Guelfo",3.3,116,7.75,2018,"Red","Chianti 2018 - Monte Guelfo, Chianti"
"Millenium Reserva 2009","Spain","Ribera del Duero","Tinto Pesquera",4.5,116,82.86,2009,"Red","Millenium Reserva 2009 - Tinto Pesquera, Ribera del Duero"
"Il Messo Governo Toscana 2017","Italy","Toscana","Barbanera",3.7,116,7.79,2017,"Red","Il Messo Governo Toscana 2017 - Barbanera, Toscana"
"Reserve Cabernet Sauvignon 2014","United States","Oakville","Robert Mondavi",4.2,116,178.96,2014,"Red","Reserve Cabernet Sauvignon 2014 - Robert Mondavi, Oakville"
"La Gravette de Certan Pomerol 2013","France","Pomerol","Vieux Château Certan",4.2,116,48.5,2013,"Red","La Gravette de Certan Pomerol 2013 - Vieux Château Certan, Pomerol"
"Grenache Noir 2018","France","Pays d'Oc","Paul Mas",3.8,116,5.5,2018,"Red","Grenache Noir 2018 - Paul Mas, Pays d'Oc"
"Cabernet Sauvignon 2015","South Africa","Western Cape","Laborie",3.4,116,7.18,2015,"Red","Cabernet Sauvignon 2015 - Laborie, Western Cape"
"Maestro Raro 2014","Italy","Toscana","Fèlsina",4,116,50.67,2014,"Red","Maestro Raro 2014 - Fèlsina, Toscana"
"Buzzard Kloof Syrah 2014","South Africa","Stellenbosch","Rustenberg",3.6,116,19.8,2014,"Red","Buzzard Kloof Syrah 2014 - Rustenberg, Stellenbosch"
"Grand Reserve 2014","South Africa","Stellenbosch","Delheim",4.1,116,26.95,2014,"Red","Grand Reserve 2014 - Delheim, Stellenbosch"
"Aussières Rouge (Red Blend) 2017","France","Pays d'Oc","Château d’Aussières",3.5,116,8.32,2017,"Red","Aussières Rouge (Red Blend) 2017 - Château d’Aussières, Pays d'Oc"
"Mount Edelstone Shiraz 2014","Australia","Eden Valley","Henschke",4.4,116,179,2014,"Red","Mount Edelstone Shiraz 2014 - Henschke, Eden Valley"
"Amarone della Valpolicella Classico 2016","Italy","Amarone della Valpolicella Classico","Allegrini",4.1,116,50.6,2016,"Red","Amarone della Valpolicella Classico 2016 - Allegrini, Amarone della Valpolicella Classico"
"Saint-Julien (Grand Cru Classé) 2017","France","Saint-Julien","Château Léoville Barton",4.2,116,95.53,2017,"Red","Saint-Julien (Grand Cru Classé) 2017 - Château Léoville Barton, Saint-Julien"
"Reserve 2015","South Africa","Western Cape","Roodeberg",3.5,116,9.95,2015,"Red","Reserve 2015 - Roodeberg, Western Cape"
"Saint-Estèphe 2017","France","Saint-Estèphe","Château Phélan Ségur",3.7,116,44.84,2017,"Red","Saint-Estèphe 2017 - Château Phélan Ségur, Saint-Estèphe"
"Santa Rita Rosso di Valtelina 2014","Italy","Valtellina","Mamete Prevostini",3.5,116,11.5,2014,"Red","Santa Rita Rosso di Valtelina 2014 - Mamete Prevostini, Valtellina"
"Limited Release Cabernet Sauvignon 2014","Chile","Rapel Valley","Sutil",4.1,116,11.8,2014,"Red","Limited Release Cabernet Sauvignon 2014 - Sutil, Rapel Valley"
"1851 Reserva Cabernet Sauvignon 2017","Chile","Colchagua Valley","Ochagavia",3.3,116,11.47,2017,"Red","1851 Reserva Cabernet Sauvignon 2017 - Ochagavia, Colchagua Valley"
"Château Romassan Rouge 2016","France","Bandol","Domaines Ott",3.9,116,33.9,2016,"Red","Château Romassan Rouge 2016 - Domaines Ott, Bandol"
"Pauillac (Grand Cru Classé) 2014","France","Pauillac","Château d'Armailhac",4,1160,94.8,2014,"Red","Pauillac (Grand Cru Classé) 2014 - Château d'Armailhac, Pauillac"
"Pauillac (Grand Cru Classé) 2010","France","Pauillac","Château Pichon Baron",4.5,1163,249,2010,"Red","Pauillac (Grand Cru Classé) 2010 - Château Pichon Baron, Pauillac"
"Pinot Noir 2016","New Zealand","Marlborough","Cloudy Bay",3.9,1163,39.95,2016,"Red","Pinot Noir 2016 - Cloudy Bay, Marlborough"
